Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/QuestionnaireResponse-SDQ11-17AnswerRikke.json	5114	8	0	0	0	0	0	0	1	188	0	0	0	0	0	0	0	0	0	0	231	57	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-SDQ4-10AnswerLars.json	4155	8	1	0	1	0	0	0	0	137	0	0	0	0	1	0	0	0	0	0	196	56	0	0	0	0	0	0	8
fsh-generated/resources/QuestionnaireResponse-TOPIRikke.json	534	11	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	59	45	0	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-RikkesParent.json	424	7	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	33	48	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-BasedOnInterventionExtension.json	1737	5	0	0	0	0	0	46	1	27	0	0	0	0	0	0	0	1	0	0	112	1544	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-FindingInformer.json	1541	8	0	0	0	0	0	28	0	16	0	0	0	0	0	0	0	0	0	0	121	844	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-KLGatewayChildrenQuestionnaire.json	1702	1	0	0	0	0	0	250	0	120	0	0	1	0	0	0	0	2	0	0	596	3556	0	0	0	0	15	0	0
fsh-generated/resources/StructureDefinition-klgateway-children-bodyheight.json	6185	11	0	0	0	0	0	561	0	98	0	0	0	0	0	0	0	4	0	0	2405	6316	0	0	0	0	19	0	0
fsh-generated/resources/StructureDefinition-klgateway-children-bodyweight.json	6049	10	1	0	0	0	0	183	0	58	0	0	1	0	0	0	0	3	0	0	2195	4350	0	0	0	0	30	0	0
fsh-generated/resources/StructureDefinition-klgateway-children-citizen.json	4802	9	0	0	0	0	0	56	0	41	0	0	2	0	0	0	0	1	0	0	1102	2687	0	0	0	0	19	0	0
fsh-generated/resources/StructureDefinition-klgateway-children-communication.json	1477	6	0	0	0	0	0	265	0	59	0	0	1	0	0	0	0	5	0	0	1178412	3792	0	0	0	0	24	0	8
fsh-generated/resources/StructureDefinition-klgateway-children-delivery-report.json	23556	6	0	0	0	0	0	680	0	41	0	0	0	0	0	0	0	2	0	0	1899	1032	0	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-klgateway-children-encounter.json	6973	8	1	0	0	0	0	39	0	43	0	0	1	0	0	0	0	2	0	0	3012	1526	0	0	0	0	19	0	0
fsh-generated/resources/StructureDefinition-klgateway-children-exam-result.json	6469	3	0	0	0	0	0	81	0	62	0	0	1	0	0	0	0	1	0	0	2560	3127	0	0	0	0	29	0	0
fsh-generated/resources/StructureDefinition-klgateway-children-feeding-observation.json	7851	11	0	0	0	0	0	51	1	92	0	0	0	0	0	0	0	5	0	0	1805	2427	0	0	0	0	24	4	0
fsh-generated/resources/StructureDefinition-klgateway-children-headcircum.json	6041	8	0	0	0	0	0	62	0	59	0	0	0	0	0	0	0	4	0	0	1535	2539	0	0	0	0	24	0	9
fsh-generated/resources/StructureDefinition-klgateway-children-hearing.json	1441	9	0	0	0	0	0	43	0	69	0	0	0	0	0	0	0	6	0	0	1649	4221	0	0	0	0	29	0	1
fsh-generated/resources/StructureDefinition-klgateway-children-indicator.json	8015	8	1	0	0	0	0	0	0	67	0	0	5	0	0	0	0	3	0	0	1658	3958	0	0	0	0	23	0	0
fsh-generated/resources/StructureDefinition-klgateway-children-intervention.json	7964	7	0	0	0	0	0	26	0	44	0	0	0	0	0	0	0	1	0	0	1027	1939	0	0	0	0	14	0	0
fsh-generated/resources/StructureDefinition-klgateway-children-location.json	3704	5	0	0	0	0	0	18	0	26	0	0	1	0	0	0	0	0	0	0	605	802	0	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-klgateway-children-motor-function.json	1480	0	0	0	0	0	0	60	0	53	0	0	1	0	0	0	0	6	0	0	1851	2272	0	0	0	0	21	0	8
fsh-generated/resources/StructureDefinition-klgateway-children-nicotine.json	1495	13	0	0	0	0	0	48	0	53	0	0	0	0	0	0	0	6	0	0	1456	3376	0	0	0	0	30	0	0
fsh-generated/resources/StructureDefinition-klgateway-children-nutrition.json	1453	5	0	0	0	0	0	61	0	71	0	0	0	0	0	0	0	5	0	0	1476	2745	0	0	0	0	21	0	0
fsh-generated/resources/StructureDefinition-klgateway-children-parent-mental-status.json	1500	6	0	0	0	0	0	65	0	61	0	0	1	0	0	0	0	3	0	0	1782	2523	0	0	0	0	48	0	0
fsh-generated/resources/StructureDefinition-klgateway-children-parent-relationship.json	1514	4	0	0	0	0	0	113	0	54	0	0	0	0	0	0	0	0	0	0	1527	3902	0	0	0	0	47	0	8
fsh-generated/resources/StructureDefinition-klgateway-children-parent-social-status.json	1505	4	0	0	0	0	0	81	0	55	0	0	1	0	0	0	0	8	0	0	1419	2833	0	0	0	0	61	0	0
fsh-generated/resources/StructureDefinition-klgateway-children-passive-smoking.json	1526	6	0	0	0	0	0	75	0	59	0	0	0	0	0	0	0	2	0	0	1932	2633	0	0	0	0	55	0	0
fsh-generated/resources/StructureDefinition-klgateway-children-physical-activity.json	1498	3	0	0	0	0	0	94	0	93	0	0	1	0	0	0	0	6	0	0	1459	2306	0	0	0	0	39	0	8
fsh-generated/resources/StructureDefinition-klgateway-children-questionnaire-response.json	6288	3	0	0	0	0	0	35	0	75	0	0	0	0	0	0	0	1	0	0	593	1176	0	0	3	0	12	0	0
fsh-generated/resources/StructureDefinition-klgateway-children-related-parent.json	3194	8	0	0	0	0	0	26	0	30	0	0	0	0	0	0	0	1	0	0	523	947	0	0	0	0	19	7	0
fsh-generated/resources/StructureDefinition-klgateway-children-sight.json	1429	0	3	0	0	0	0	74	0	71	0	0	1	0	0	0	0	4	0	0	1677	3867	0	0	0	0	45	0	0
fsh-generated/resources/StructureDefinition-klgateway-children-sleep.json	1441	9	0	0	0	0	0	91	0	82	0	0	1	0	0	0	0	0	0	0	1456	3473	0	0	0	0	41	0	0
fsh-generated/resources/StructureDefinition-klgateway-children-social-interaction.json	1498	1	0	0	0	0	0	52	0	72	0	0	1	0	0	0	0	8	0	0	1486	3988	0	0	0	0	42	0	10
fsh-generated/resources/StructureDefinition-klgateway-children-social-support-network.json	1524	9	0	0	0	0	0	45	0	62	0	0	1	0	0	0	0	3	0	0	1466	4921	0	0	0	0	31	0	0
fsh-generated/resources/ValueSet-BodyheightSCTobservablesChildren.json	658	1	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	85	12541	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ChildrenParentRelationshipCodes.json	803	7	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	99	302	0	0	0	0	8	0	0
fsh-generated/resources/ValueSet-CommunicationCodes.json	752	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	107	327	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-EncounterClassCodes.json	765	8	0	0	0	0	0	0	1	94	0	0	0	0	0	0	0	0	0	0	99	399	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-EncounterTypes.json	1726	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	66	397	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ExamResults.json	7632	10	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	245	1341	0	0	0	0	2	0	0
fsh-generated/resources/ValueSet-FeedingResultsChildren.json	874	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	46	351	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-FindingInformerCodes.json	972	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	55	414	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HearingCodes.json	696	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	40	290	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IndicatorCodesChildren.json	1655	10	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	66	397	1	0	0	0	0	0	0
fsh-generated/resources/ValueSet-KLHealthNurseConditions.json	3689	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	111	1606	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-KLHealthNurseInterventions.json	1976	10	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	48	613	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-MotorFunctionCodes.json	738	7	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	55	251	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-NicotineCodes.json	702	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	54	278	0	0	1	0	0	0	0
fsh-generated/resources/ValueSet-NutritionCodes.json	704	6	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	40	267	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ObservationUnitsWeight.json	547	2	0	0	0	0	0	0	0	7937	0	0	0	0	0	0	0	0	0	0	33	721	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ParentSocialStatusCodes.json	781	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	39	258	0	0	0	0	8	0	0
fsh-generated/resources/ValueSet-ParentTypes.json	554	11	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	38	250	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ParentsMentalCodes.json	725	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	259	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-PassiveSmokingCodes.json	656	6	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	42	295	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-PhysicalActivityCodes.json	824	9	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	44	313	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-SightCodes.json	682	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	41	312	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-SleepCodes.json	728	7	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	50	279	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-SocialInteractionCodes.json	760	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	47	288	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-SocialSupportNetworkCodes.json	660	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	41	301	0	0	0	0	0	0	0
